"Scenario","Region","t","Recycling"
"Ambitious-Baseline-Baseline-Baseline-Baseline","Brazil",2064,3.37384230445715
"Ambitious-Baseline-Baseline-Baseline-Baseline","Brazil",2065,3.43630430169795
"Ambitious-Baseline-Baseline-Baseline-Baseline","Brazil",2066,3.49124499437078
"Ambitious-Baseline-Baseline-Baseline-Baseline","Brazil",2067,3.53977545082592
"Ambitious-Baseline-Baseline-Baseline-Baseline","Brazil",2068,3.58295984661934
"Ambitious-Baseline-Baseline-Baseline-Baseline","Brazil",2069,3.62198569563647
"Ambitious-Baseline-Baseline-Baseline-Baseline","Brazil",2070,3.65798485298389
"Ambitious-Baseline-Baseline-Baseline-Baseline","Canada",2023,0.00250161408356639
"Ambitious-Baseline-Baseline-Baseline-Baseline","Canada",2024,0.00309624355456802
"Ambitious-Baseline-Baseline-Baseline-Baseline","Canada",2025,0.00447876920401887
"Ambitious-Baseline-Baseline-Baseline-Baseline","Canada",2026,0.00668751527156649
"Ambitious-Baseline-Baseline-Baseline-Baseline","Canada",2027,0.00996524762035724
"Ambitious-Baseline-Baseline-Baseline-Baseline","Canada",2028,0.0147670787473074
"Ambitious-Baseline-Baseline-Baseline-Baseline","Canada",2029,0.0218653876598338
"Ambitious-Baseline-Baseline-Baseline-Baseline","Canada",2030,0.0326519405370969
"Ambitious-Baseline-Baseline-Baseline-Baseline","Canada",2031,0.0488302221069821
"Ambitious-Baseline-Baseline-Baseline-Baseline","Canada",2032,0.0612867590009343
"Ambitious-Baseline-Baseline-Baseline-Baseline","Canada",2033,0.0775724015690744
"Ambitious-Baseline-Baseline-Baseline-Baseline","Canada",2034,0.0986898289092204
"Ambitious-Baseline-Baseline-Baseline-Baseline","Canada",2035,0.126188534880984
"Ambitious-Baseline-Baseline-Baseline-Baseline","Canada",2036,0.155838290889691
"Ambitious-Baseline-Baseline-Baseline-Baseline","Canada",2037,0.199170252178364
"Ambitious-Baseline-Baseline-Baseline-Baseline","Canada",2038,0.250606864388962
"Ambitious-Baseline-Baseline-Baseline-Baseline","Canada",2039,0.313845233405078
"Ambitious-Baseline-Baseline-Baseline-Baseline","Canada",2040,0.389906069642054
"Ambitious-Baseline-Baseline-Baseline-Baseline","Canada",2041,0.47908602912317
"Ambitious-Baseline-Baseline-Baseline-Baseline","Canada",2042,0.582500448153959
"Ambitious-Baseline-Baseline-Baseline-Baseline","Canada",2043,0.695401465542748
"Ambitious-Baseline-Baseline-Baseline-Baseline","Canada",2044,0.813228769704044
"Ambitious-Baseline-Baseline-Baseline-Baseline","Canada",2045,0.930418387344084
"Ambitious-Baseline-Baseline-Baseline-Baseline","Canada",2046,1.04165607186151
"Ambitious-Baseline-Baseline-Baseline-Baseline","Canada",2047,1.14264055988432
"Ambitious-Baseline-Baseline-Baseline-Baseline","Canada",2048,1.2311501881099
"Ambitious-Baseline-Baseline-Baseline-Baseline","Canada",2049,1.30676894822957
"Ambitious-Baseline-Baseline-Baseline-Baseline","Canada",2050,1.36983534208443
"Ambitious-Baseline-Baseline-Baseline-Baseline","Canada",2051,1.42149696921122
"Ambitious-Baseline-Baseline-Baseline-Baseline","Canada",2052,1.46331855737395
"Ambitious-Baseline-Baseline-Baseline-Baseline","Canada",2053,1.49736909711096
"Ambitious-Baseline-Baseline-Baseline-Baseline","Canada",2054,1.52544384148425
"Ambitious-Baseline-Baseline-Baseline-Baseline","Canada",2055,1.54876306857171
"Ambitious-Baseline-Baseline-Baseline-Baseline","Canada",2056,1.56815830069331
"Ambitious-Baseline-Baseline-Baseline-Baseline","Canada",2057,1.58424770297288
"Ambitious-Baseline-Baseline-Baseline-Baseline","Canada",2058,1.5972720948616
"Ambitious-Baseline-Baseline-Baseline-Baseline","Canada",2059,1.60743697589758
"Ambitious-Baseline-Baseline-Baseline-Baseline","Canada",2060,1.61512042780743
"Ambitious-Baseline-Baseline-Baseline-Baseline","Canada",2061,1.62065286271782
"Ambitious-Baseline-Baseline-Baseline-Baseline","Canada",2062,1.62452985937561
"Ambitious-Baseline-Baseline-Baseline-Baseline","Canada",2063,1.62733281112571
"Ambitious-Baseline-Baseline-Baseline-Baseline","Canada",2064,1.62948808453139
