"t","Scenario","Demand"
2035,"Ambitious-Baseline-Low Range-Baseline-Baseline",820.289118538963
2035,"Ambitious-Double LFP-Baseline-Baseline-Baseline",1071.76810500965
2035,"Ambitious-Double NMC 811-Baseline-Baseline-Baseline",1079.30150789675
2035,"Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",1037.87051508719
2035,"Ambitious-Solid State adoption-Baseline-Baseline-Baseline",1153.07349480172
2036,"Ambitious-Baseline-Baseline-Baseline-Baseline",1135.96021832553
2036,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",1140.04394434143
2036,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",1046.3162883459
2036,"Ambitious-Baseline-High Range-Baseline-Baseline",1424.41922270398
2036,"Ambitious-Baseline-Low Range-Baseline-Baseline",865.993643915879
2036,"Ambitious-Double LFP-Baseline-Baseline-Baseline",1125.61778757857
2036,"Ambitious-Double NMC 811-Baseline-Baseline-Baseline",1133.93962778596
2036,"Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",1083.53690617534
2036,"Ambitious-Solid State adoption-Baseline-Baseline-Baseline",1224.00508738285
2037,"Ambitious-Baseline-Baseline-Baseline-Baseline",1195.61864579252
2037,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",1200.99325330999
2037,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",1081.27470992948
2037,"Ambitious-Baseline-High Range-Baseline-Baseline",1495.35780347113
2037,"Ambitious-Baseline-Low Range-Baseline-Baseline",913.268406592416
2037,"Ambitious-Double LFP-Baseline-Baseline-Baseline",1184.59843212046
2037,"Ambitious-Double NMC 811-Baseline-Baseline-Baseline",1193.73902906215
2037,"Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",1133.82965556075
2037,"Ambitious-Solid State adoption-Baseline-Baseline-Baseline",1301.95424548837
2038,"Ambitious-Baseline-Baseline-Baseline-Baseline",1257.21346461958
2038,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",1263.95856673553
2038,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",1112.69767323902
2038,"Ambitious-Baseline-High Range-Baseline-Baseline",1568.28591285868
2038,"Ambitious-Baseline-Low Range-Baseline-Baseline",962.16637966868
2038,"Ambitious-Double LFP-Baseline-Baseline-Baseline",1245.53773827037
2038,"Ambitious-Double NMC 811-Baseline-Baseline-Baseline",1255.55043387528
2038,"Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",1185.33579677671
2038,"Ambitious-Solid State adoption-Baseline-Baseline-Baseline",1383.92162013865
2039,"Ambitious-Baseline-Baseline-Baseline-Baseline",1317.8063499314
2039,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",1326.248973856
2039,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",1137.43905448017
2039,"Ambitious-Baseline-High Range-Baseline-Baseline",1639.53350971507
2039,"Ambitious-Baseline-Low Range-Baseline-Baseline",1010.25121628781
2039,"Ambitious-Double LFP-Baseline-Baseline-Baseline",1305.5287768688
2039,"Ambitious-Double NMC 811-Baseline-Baseline-Baseline",1316.4903204426
2039,"Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",1235.50171346493
2039,"Ambitious-Solid State adoption-Baseline-Baseline-Baseline",1467.09836932328
2040,"Ambitious-Baseline-Baseline-Baseline-Baseline",1387.13866650601
2040,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",1399.1125921656
2040,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",1166.46833428898
2040,"Ambitious-Baseline-High Range-Baseline-Baseline",1719.42092736193
2040,"Ambitious-Baseline-Low Range-Baseline-Baseline",1066.50538939916
2040,"Ambitious-Double LFP-Baseline-Baseline-Baseline",1374.27412544767
2040,"Ambitious-Double NMC 811-Baseline-Baseline-Baseline",1386.25368922521
2040,"Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",1291.21012479351
2040,"Ambitious-Solid State adoption-Baseline-Baseline-Baseline",1561.94420855816
2041,"Ambitious-Baseline-Baseline-Baseline-Baseline",1421.47724698089
2041,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",1434.66820613289
2041,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",1154.38347224863
2041,"Ambitious-Baseline-High Range-Baseline-Baseline",1758.8812475487
2041,"Ambitious-Baseline-Low Range-Baseline-Baseline",1094.5951014864
2041,"Ambitious-Double LFP-Baseline-Baseline-Baseline",1408.22167034538
2041,"Ambitious-Double NMC 811-Baseline-Baseline-Baseline",1420.93785318023
2041,"Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",1325.40401403086
2041,"Ambitious-Solid State adoption-Baseline-Baseline-Baseline",1602.74351318099
2042,"Ambitious-Baseline-Baseline-Baseline-Baseline",1459.31395051048
2042,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",1473.20121691075
2042,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",1138.96343366604
2042,"Ambitious-Baseline-High Range-Baseline-Baseline",1802.22926203406
2042,"Ambitious-Baseline-Low Range-Baseline-Baseline",1124.27814803063
2042,"Ambitious-Double LFP-Baseline-Baseline-Baseline",1445.61952636613
2042,"Ambitious-Double NMC 811-Baseline-Baseline-Baseline",1459.05694765388
2042,"Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",1362.71443009067
2042,"Ambitious-Solid State adoption-Baseline-Baseline-Baseline",1647.50120889181
2043,"Ambitious-Baseline-Baseline-Baseline-Baseline",1495.28312552142
2043,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",1511.43285352422
2043,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",1116.75787482385
2043,"Ambitious-Baseline-High Range-Baseline-Baseline",1842.35806488649
2043,"Ambitious-Baseline-Low Range-Baseline-Baseline",1153.24660501205
2043,"Ambitious-Double LFP-Baseline-Baseline-Baseline",1481.15970711623
2043,"Ambitious-Double NMC 811-Baseline-Baseline-Baseline",1495.3055307105
2043,"Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",1398.38120077871
2043,"Ambitious-Solid State adoption-Baseline-Baseline-Baseline",1690.4710364387
2044,"Ambitious-Baseline-Baseline-Baseline-Baseline",1529.79267282926
2044,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",1548.0350538938
2044,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",1088.15787115701
2044,"Ambitious-Baseline-High Range-Baseline-Baseline",1877.8516087685
2044,"Ambitious-Baseline-Low Range-Baseline-Baseline",1180.15412208905
2044,"Ambitious-Double LFP-Baseline-Baseline-Baseline",1515.25043272848
2044,"Ambitious-Double NMC 811-Baseline-Baseline-Baseline",1530.08560547098
2044,"Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",1432.61018711432
2044,"Ambitious-Solid State adoption-Baseline-Baseline-Baseline",1731.91265682
2045,"Ambitious-Baseline-Baseline-Baseline-Baseline",1562.76306737714
2045,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",1582.54617569359
2045,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",1056.66569722706
2045,"Ambitious-Baseline-High Range-Baseline-Baseline",1911.30599447575
2045,"Ambitious-Baseline-Low Range-Baseline-Baseline",1207.02829617115
2045,"Ambitious-Double LFP-Baseline-Baseline-Baseline",1547.8267016558
2045,"Ambitious-Double NMC 811-Baseline-Baseline-Baseline",1563.32667643188
2045,"Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",1464.95000778994
2045,"Ambitious-Solid State adoption-Baseline-Baseline-Baseline",1771.70609153808
2046,"Ambitious-Baseline-Baseline-Baseline-Baseline",1578.26800881633
2046,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",1601.65483784309
2046,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",1005.57186628559
2046,"Ambitious-Baseline-High Range-Baseline-Baseline",1924.47336172369
2046,"Ambitious-Baseline-Low Range-Baseline-Baseline",1221.73304157705
2046,"Ambitious-Double LFP-Baseline-Baseline-Baseline",1563.12992411547
2046,"Ambitious-Double NMC 811-Baseline-Baseline-Baseline",1579.13111080373
2046,"Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",1481.69054465956
2046,"Ambitious-Solid State adoption-Baseline-Baseline-Baseline",1791.90069297565
2047,"Ambitious-Baseline-Baseline-Baseline-Baseline",1595.14237574753
2047,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",1622.19259522856
2047,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",955.565461772163
2047,"Ambitious-Baseline-High Range-Baseline-Baseline",1938.42306402188
2047,"Ambitious-Baseline-Low Range-Baseline-Baseline",1237.34054622892
2047,"Ambitious-Double LFP-Baseline-Baseline-Baseline",1579.76749470744
2047,"Ambitious-Double NMC 811-Baseline-Baseline-Baseline",1596.26550900806
2047,"Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",1499.94635619216
2047,"Ambitious-Solid State adoption-Baseline-Baseline-Baseline",1813.25721845317
2048,"Ambitious-Baseline-Baseline-Baseline-Baseline",1610.40547990721
2048,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",1641.09455666009
2048,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",904.867827054443
2048,"Ambitious-Baseline-High Range-Baseline-Baseline",1950.64957550404
2048,"Ambitious-Baseline-Low Range-Baseline-Baseline",1251.59247233585
2048,"Ambitious-Double LFP-Baseline-Baseline-Baseline",1594.80862226224
2048,"Ambitious-Double NMC 811-Baseline-Baseline-Baseline",1611.79412221664
2048,"Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",1516.93617897352
2048,"Ambitious-Solid State adoption-Baseline-Baseline-Baseline",1832.61051685681
2049,"Ambitious-Baseline-Baseline-Baseline-Baseline",1625.54997606363
2049,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",1659.37382714288
2049,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",856.080881602262
2049,"Ambitious-Baseline-High Range-Baseline-Baseline",1962.97967599794
2049,"Ambitious-Baseline-Low Range-Baseline-Baseline",1265.83512830621
2049,"Ambitious-Double LFP-Baseline-Baseline-Baseline",1609.72493459133
2049,"Ambitious-Double NMC 811-Baseline-Baseline-Baseline",1627.20407143567
2049,"Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",1533.8233331567
2049,"Ambitious-Solid State adoption-Baseline-Baseline-Baseline",1851.91634793461
2050,"Ambitious-Baseline-Baseline-Baseline-Baseline",1642.4176740431
2050,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",1678.93820560049
2050,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",811.525032286242
2050,"Ambitious-Baseline-High Range-Baseline-Baseline",1977.42683696616
2050,"Ambitious-Baseline-Low Range-Baseline-Baseline",1281.75642649976
2050,"Ambitious-Double LFP-Baseline-Baseline-Baseline",1626.35062499723
2050,"Ambitious-Double NMC 811-Baseline-Baseline-Baseline",1644.34384865217
2050,"Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",1552.34349935923
2050,"Ambitious-Solid State adoption-Baseline-Baseline-Baseline",1873.1196709458
2051,"Ambitious-Baseline-Baseline-Baseline-Baseline",1647.24384220197
2051,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",1687.63463364699
2051,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",754.908477367758
2051,"Ambitious-Baseline-High Range-Baseline-Baseline",1976.75956619671
2051,"Ambitious-Baseline-Low Range-Baseline-Baseline",1287.73955589099
2051,"Ambitious-Double LFP-Baseline-Baseline-Baseline",1631.26172013196
2051,"Ambitious-Double NMC 811-Baseline-Baseline-Baseline",1649.04337225722
2051,"Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",1559.59472782218
2051,"Ambitious-Solid State adoption-Baseline-Baseline-Baseline",1877.1635861603
2052,"Ambitious-Baseline-Baseline-Baseline-Baseline",1651.31430748843
2052,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",1694.53352581766
2052,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",702.315806950623
2052,"Ambitious-Baseline-High Range-Baseline-Baseline",1976.0191544963
2052,"Ambitious-Baseline-Low Range-Baseline-Baseline",1292.58476564075
2052,"Ambitious-Double LFP-Baseline-Baseline-Baseline",1635.41679780957
2052,"Ambitious-Double NMC 811-Baseline-Baseline-Baseline",1653.00983277889
2052,"Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",1565.90867442906
2052,"Ambitious-Solid State adoption-Baseline-Baseline-Baseline",1880.26593365215
2053,"Ambitious-Baseline-Baseline-Baseline-Baseline",1656.26569389215
2053,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",1702.04064395302
2053,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",654.073665808028
2053,"Ambitious-Baseline-High Range-Baseline-Baseline",1977.92952158543
2053,"Ambitious-Baseline-Low Range-Baseline-Baseline",1298.05607024483
2053,"Ambitious-Double LFP-Baseline-Baseline-Baseline",1640.42999413364
2053,"Ambitious-Double NMC 811-Baseline-Baseline-Baseline",1657.87899574625
2053,"Ambitious-Sodium Battery adoption-Baseline-Baseline-Baseline",1572.90138532133
2053,"Ambitious-Solid State adoption-Baseline-Baseline-Baseline",1884.3595792238
2054,"Ambitious-Baseline-Baseline-Baseline-Baseline",1661.95562136476
2054,"Ambitious-Baseline-Baseline-Baseline-Enhanced SSPS",1710.14630913123
2054,"Ambitious-Baseline-Baseline-Baseline-Enhanced recycling",609.909935212916
